"subj","rt","resp","cond","r1","r2","t1","t2"
1,2010,1,0.5,10,32.44,0,44
1,3226,1,0.9,10,23.206,0,22
1,3434,0,0.1,10,24.319,0,33
1,2644,1,0.5,10,25.3,0,30
1,2210,1,0.9,10,34.361,0,42
1,2498,1,0.9,10,32.13,0,38
1,3034,1,0.7,10,25.685,0,29
1,2450,0,0.9,10,19.302,0,15
1,2820,0,0.3,10,29.303,0,40
1,2850,1,0.3,10,23.403,0,28
1,2810,0,0.5,10,29.89,0,39
1,1934,1,0.5,10,31.93,0,43
1,2764,1,0.7,10,29.912,0,37
1,2166,0,0.1,10,18.309,0,20
1,3170,1,0.5,10,23.77,0,27
1,1926,1,0.5,10,31.93,0,43
1,2144,1,0.3,10,30.777,0,43
1,2958,1,0.5,10,23.77,0,27
1,2032,1,0.3,10,30.286,0,42
1,1944,0,0.7,10,18.816,0,16
1,3496,0,0.3,10,21.929,0,25
1,1956,0,0.1,10,27.555,0,40
1,1958,0,0.1,10,15.998,0,15
1,1954,0,0.1,10,17.847,0,19
1,2388,1,0.5,10,20.71,0,21
1,2864,1,0.5,10,20.71,0,21
1,3154,1,0.5,10,26.83,0,33
1,3404,1,0.9,10,23.764,0,23
1,2632,1,0.5,10,20.71,0,21
1,2538,0,0.9,10,19.302,0,15
1,3256,1,0.5,10,29.38,0,38
1,2510,0,0.1,10,22.007,0,28
1,1826,1,0.9,10,34.919,0,43
1,2994,1,0.7,10,25.685,0,29
1,2746,1,0.5,10,23.77,0,27
1,1788,1,0.5,10,30.91,0,41
1,3342,0,0.3,10,24.878,0,31
1,2460,0,0.1,10,18.772,0,21
1,2782,1,0.7,10,28.855,0,35
1,2642,0,0.3,10,29.303,0,40
1,1884,0,0.3,10,17.013,0,15
1,3220,0,0.1,10,25.706,0,36
1,2892,1,0.3,10,22.42,0,26
1,1740,1,0.7,10,31.497,0,40
1,2676,1,0.5,10,25.3,0,30
1,1924,1,0.7,10,29.384,0,36
1,2764,1,0.5,10,24.28,0,28
1,2482,1,0.5,10,22.24,0,24
1,1768,0,0.1,10,18.309,0,20
1,2682,1,0.5,10,20.2,0,20
1,2544,1,0.3,10,27.336,0,36
1,2186,1,0.9,10,24.322,0,24
1,3146,1,0.5,10,25.81,0,31
1,1750,0,0.5,10,19.69,0,19
1,2398,1,0.3,10,27.336,0,36
1,2298,1,0.5,10,23.26,0,26
1,1962,0,0.3,10,29.794,0,41
1,1802,0,0.1,10,28.017,0,41
1,2974,1,0.7,10,27.799,0,33
1,1958,1,0.9,10,27.668,0,30
1,1526,1,0.5,10,31.42,0,42
1,1788,1,0.9,10,33.245,0,40
1,3212,0,0.1,10,24.781,0,34
1,1646,1,0.9,10,33.245,0,40
1,2502,1,0.5,10,27.85,0,35
1,1822,1,0.7,10,23.571,0,25
1,1648,1,0.7,10,22.514,0,23
1,2082,1,0.7,10,23.571,0,25
1,3532,0,0.3,10,24.878,0,31
1,2854,1,0.1,10,26.168,0,37
1,1752,1,0.7,10,23.043,0,24
1,1588,0,0.1,10,27.555,0,40
1,2072,1,0.5,10,26.32,0,32
1,3902,0,0.1,10,21.083,0,26
1,1844,1,0.7,10,29.384,0,36
1,2256,1,0.5,10,25.81,0,31
1,2510,1,0.9,10,26.553,0,28
1,1550,1,0.5,10,28.36,0,36
1,2580,1,0.9,10,29.899,0,34
1,2110,1,0.9,10,32.688,0,39
1,1614,1,0.3,10,31.269,0,44
1,2246,0,0.3,10,24.878,0,31
1,1604,1,0.7,10,32.554,0,42
1,1754,1,0.5,10,20.2,0,20
1,1434,1,0.9,10,36.034,0,45
1,1778,1,0.5,10,21.73,0,23
1,1992,0,0.1,10,19.234,0,22
1,1446,1,0.7,10,32.554,0,42
1,1662,1,0.5,10,28.87,0,37
1,2140,0,0.1,10,17.847,0,19
1,1776,0,0.9,10,19.302,0,15
